Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"GLASSES","Glasses",8,"glasses",YES,"JHK34, JHK42, JJX60"
"boot lt","Boot LT",8,"footwear",YES,"JMG68, JMG69, JMG70"
"large sign","Large Sign",8,"large",YES,"JLT63, JLT64, JLT65"
"BODY FENCE BACK","Body Fence Back",7,"body",YES,"JHH07, JHH08"
"FRONT CASE","Front Case",7,"front",YES,"JTP41, JTP42"
"FOUNTAIN base & Fountain","Fountain Base & Fountain",7,"base",YES,"JJP91"
"Gothel Torso Lower","Gothel Torso Lower",7,"body",NO,"JJV56"
"Lower-Leg-Rt","Lower Leg RT",7,"leg",YES,"JJY15, JMV18, JMV19"
"FLYNN RIDER UPPER ARM RT","Flynn Rider Upper Arm RT",7,"arm",YES,"JHH02"
"Maleficent Torso Lower","Maleficent Torso Lower",7,"body",NO,"JJV55"
"Torso upper FT","Torso Upper FT",7,"body",YES,"JLX47"
"Mask","Mask",7,"mask",NO,"JJX97, JMV25, JTP17"
"HAIRCLIP","Hairclip",7,"hairclip",YES,"JMP46, JMP47"
"BAG ","Bag",7,"bag",YES,"JHK34, JRF23"
"Earring-Stud-Rt","Earring Stud RT",7,"accessory",YES,"JJX47, JPT88"
"Suitcase-stick","Suitcase Stick",7,"suitcase",YES,"JMV16, JMV17, JMV18"
"JJB33-001-torso-ft","Torso FT",7,"body",YES,"JJB33"
"Suitcase Front","Suitcase Front",7,"suitcase",NO,"JMJ47"
"dog tail","Dog Tail",7,"dog",YES,"JFP36, JFP37, JFP38"
"NECKLACE","Necklace",7,"accessory",YES,"JBJ31, JHK34, JMP48"
"PERFUME JAR","Perfume Jar",7,"perfume",YES,"JPD88, JPD89, JPD90"
"Earring-Lt","Earring LT",7,"accessory",YES,"JJX58, JJX65, JNG38"
"Scepter Shelf","Scepter Shelf",7,"scepter",NO,"JHL49, JPR42"
"Rapunzel-Arm Upper-Lt","Rapunzel Arm Upper LT",7,"arm",YES,"JLK28, JLK30, JLK36"
"Booties LT","Booties LT",7,"booties",NO,"JPD81, JTJ05"
"Scepter-housing","Scepter Housing",7,"scepter",YES,"JPR42"
"Arms with neck","Arms With Neck",7,"neck",YES,"JJP93, JJP94"
"Rapunzel-Torso-Ft","Rapunzel Torso FT",7,"body",YES,"JLK28, JLK30"
"Hip ball Rt","Hip Ball RT",7,"hip",YES,"JJX29, JPR92"
"SHOES-R","Shoes R",7,"shoes",YES,"JBJ31, JJX60, JJY07"
"Arm-Shoulder-Rt","Arm Shoulder RT",7,"arm",YES,"JGP21, JJY03, JPR92"
"Scepter-Base","Scepter Base",7,"base",YES,"JHL49, JPR42"
"Legs","Leg",7,"legs",YES,"JJP93, JJP94"
"Hand-Rt.","Hand RT",7,"hand",YES,"JBJ12, JGG38, JJY39"
"Backpack","Backpack",7,"backpack",NO,"JKN62, JRJ36"
"Pelvis Ft","Pelvis FT",6,"pelvis",YES,"JHK34"
"TIARA","Tiara",6,"accessory",YES,"JHG93"
"Leg-Lower-Rt","Leg Lower RT",6,"leg",YES,"JGP21"
"PERFUME JAR COVER","Perfume Jar Cover",6,"cover",YES,"JPD88, JPD89, JPD90"
"Earring LT","Earring LT",6,"accessory",NO,"JBJ05, JGL50"
"snow could parasol lt","Snow Could Parasol LT",6,"snow",YES,"JPK57"
"Torso Upper Ft","Torso Upper FT",6,"body",YES,"JJX29, JPR92"
"Roller-clip","Roller Clip",6,"clip",YES,"JGG38"
"Bodice-Armor-ft","Bodice Armor FT",6,"bodice",YES,"JJX56"
"Left-High-heel-leg ","Left High Heel Leg",6,"leg",YES,"JKH62, JKH63"
"Seat","Seat",6,"seat",NO,"JHL60, JJP88"
"Treasure-chest","Treasure Chest",6,"treasure",YES,"JLK36"
"Camera-flashlight","Camera Flashlight",6,"camera",YES,"JRJ35"
"BODY FENCE LT RT","Body Fence LT RT",6,"body",YES,"JHH07, JHH08"
"Ankle-connector","Ankle Connector",6,"connector",YES,"JLW51, JLW52"
"Pole Base","Pole Base",6,"base",NO,"JMJ46"
" Leg Lt","Leg LT",6,"leg",YES,"JRD72"
"snack cover","Snack Cover",6,"cover",YES,"JDR48"
"Post","Post",6,"post",NO,"JJB41, JLX39"
"horse reins","Horse Reins",6,"horse",YES,"JHH07, JHH09"
"PVC SKIRT","Pvc Skirt",6,"clothing",YES,"JPL74"
"Scepter-lid","Scepter Lid",6,"cover",YES,"JPR42"
"Carpet","Carpet",6,"carpet",NO,"JLK36"
" FT DOOR","FT Door",6,"ft",YES,"JHH07, JHH08, JHH09"
"FLYNN RIDER LOWER ARM RT","Flynn Rider Lower Arm RT",6,"arm",YES,"JHH02"
"Boot-Lt","Boot LT",6,"footwear",YES,"JJX48, JPR88"
"TRANSPARENT COVER","Transparent Cover",6,"cover",YES,"JTP41, JTP42"
"beauty storage box","Beauty Storage Box",6,"packaging",YES,"JHK43, JHK46"
"FLYNN RIDER UPPER TORSO FT","Flynn Rider Upper Torso FT",6,"body",YES,"JHH02"
"torso front","Torso Front",6,"body",YES,"JDR54, JDR56"
"RING","Ring",6,"accessory",YES,"JJX30, JJY07"
"bag chain","Bag Chain",6,"bag",YES,"JPL13, JPL15"
"MOM TORSO FT","Mom Torso FT",6,"body",YES,"JLJ06"
"Lower-Arm-Rt","Lower Arm RT",6,"arm",YES,"JJY15, JLP17"
"bracelet","Bracelet",6,"accessory",YES,"JHK31, JLT60, JPD88"
"Helmet-Inner-Visor","Helmet Inner Visor",6,"helmet",YES,"JBJ28, JKF77"
"Katrina Torso Upper Ft.","Katrina Torso Upper FT",6,"body",YES,"JHK34"
"Boot-Rt.","Boot RT",6,"footwear",YES,"JBH81, JBH93, JBJ38"
"SUNGLASSES","Sunglasses",6,"sunglasses",YES,"JJX38, JJX39"
"JJB36-001-torso-ft","Torso FT",6,"body",YES,"JJB36"
"Chair","Chair",6,"chair",NO,"JLT64, JLT65"
"Doll-Stand-Post","Doll Stand Post",6,"base",YES,"HYM38, JJY15, JMV26"
"bottle lt","Bottle LT",6,"bottle",YES,"JRD72"
"carriage body Lt, Rt","Carriage Body Lt, RT",6,"body",YES,"JLH83"
"Hair-clip","Hair Clip",6,"hair",YES,"JJV48, JLK25, JMP50"
"Brush","Brush",6,"brush",NO,"JGG38, JHL60, JMH18"
"Straight-RT-Arm","Straight RT Arm",6,"arm",YES,"JJY39, JMP74"
"Earring Rt","Earring RT",6,"accessory",YES,"JHK29, JPL54"
"Face-skin","Face Skin",6,"face",YES,"JMV25"
"Nokk Body LT RT","Nokk Body LT RT",6,"body",NO,"JHH08"
"Shoe-Bottom-Lt","Shoe Bottom LT",5,"footwear",YES,"JJX53, JJX56"
"Headband Top","Headband Top",5,"headband",NO,"JPD80"
"doll stand base","Doll Stand Base",5,"base",YES,"JLP19, JLT59"
"Balloon Handle","Balloon Handle",5,"handle",NO,"JPD80, JPD81"
"Hand-Lt","Hand LT",5,"hand",YES,"JJV48, JKH63"
"Hand","Hand",5,"hand",NO,"JMV26"
"Barbie-Bag-Ft.","Barbie Bag FT",5,"barbie",YES,"JJN95, JPL15"
"2nd floor","2nd Floor",5,"2nd",YES,"JLT63, JLT65"
"Earring-Rt","Earring RT",5,"accessory",YES,"JBH80, JJX62"
"EARRINGS LT","Earrings LT",5,"earrings",YES,"JHK39, JHK40, JHK42"
"Hair curler-cover","Hair Curler Cover",5,"hair",YES,"JGG36"
"Evil Queen Head","Evil Queen Head",5,"head",NO,"JPL71"
"Glove-R","Glove R",5,"glove",YES,"JMP48, JMP53"
"Gittler gem-A","Gittler Gem A",5,"gittler",YES,"JHL49, JLK28, JLK30"
"Eye-mask","Eye Mask",5,"eye",YES,"JGG38, JML08"
"Gauntlets-Rt","Gauntlets RT",5,"gauntlets",YES,"JJY03, JKG65"
"Front-Wheel","Front Wheel",5,"wheel",YES,"JRJ36"
"Fan-front","Fan Front",5,"fan",YES,"JKP51"
"Table","Table",5,"table",NO,"JLT65, JLV22"
"Sword","Sword",5,"sword",NO,"JJY03, JKG65"
"sunglasses","Sunglasses",5,"sunglasses",YES,"JDR48, JMB81"
"upper-Leg-Rt-Outer","Upper Leg RT Outer",5,"leg",YES,"JGP25"
"Sunglass","Sunglass",5,"sunglass",NO,"JMV16, JMV17, JMV19"
"Upper-Leg-Rt.","Upper Leg RT",5,"leg",YES,"JGG38, JMP46"
"spinning wall","Spinning Wall",5,"spinning",YES,"JNK62"
"SNOW BIRD","Snow Bird",5,"snow",YES,"JJP91"
"SNEAKERS LT","Sneakers LT",5,"sneakers",YES,"JHK39, JHK40, JHK42"
"sled handle lt/rt","Sled Handle Lt/rt",5,"handle",YES,"JJP87"
"Boots-R","Boots R",5,"boots",YES,"JBJ36, JMP50"
"Boots-Strap-Rt","Boots Strap RT",5,"boots",YES,"JJX55"
"bottle cover","Bottle Cover",5,"cover",YES,"JRD72"
"SHOES LT","Shoes LT",5,"shoes",YES,"JHK34"
"Shoes-L","Shoes L",5,"shoes",YES,"JMV26"
"Head-dress-ear","Head Dress Ear",5,"head",YES,"JLT53"
"bridge","Bridge",5,"bridge",YES,"JLJ10"
"Buckle","Buckle",5,"buckle",NO,"JBH88, JJN70"
"upper arm lt","Upper Arm LT",5,"arm",YES,"JDR48, JLT59"
"Butterfly Bag-R","Butterfly Bag R",5,"butterfly",YES,"JPL09"
"Cage-body-lower","Cage Body Lower",5,"body",YES,"JMV26"
"BACK CASE","Back Case",5,"back",YES,"JTP41"
"Cage-Top","Cage Top",5,"cage",YES,"JRJ36"
"back pack cover","Back Pack Cover",5,"cover",YES,"JMB82"
"ring","Ring",5,"accessory",YES,"JLT54, JRD77"
"Back side wall Lt","Back Side Wall LT",5,"back",YES,"JLJ09"
"Back wall","Back Wall",5,"back",YES,"JLJ09"
"Cart body","Cart Body",5,"body",YES,"JTP41"
"Purse","Purse",5,"purse",NO,"JKP51, JRT63"
"apple","Apple",5,"apple",YES,"JLT56"
"post","Post",5,"post",YES,"JNK62, JPK57"
"Pillow-Top","Pillow Top",5,"pillow",YES,"JFJ80"
"Petite-Torso-Ft","Petite Torso FT",5,"body",YES,"JHL49, JMP46"
"C-clip","C Clip",5,"clip",YES,"JJP88, JPR92, JTR73"
"C-Clip","C Clip",5,"clip",YES,"JJX56, JLK36"
"bag ","Bag",5,"bag",YES,"JMG70, JMG71"
"CHAIR","Chair",5,"chair",YES,"JJP93, JKB64"
"Moon","Moon",5,"moon",NO,"JGL50, JMV26"
"Monkey-head","Monkey Head",5,"head",YES,"JLK36"
"Mice-Tool-Lt","Mice Tool LT",5,"mice",YES,"JLK35"
"Cindy Plate","Cindy Plate",5,"cindy",NO,"JTP41"
"Circus Earrings LT","Circus Earrings LT",5,"circus",NO,"JPD82, JTK70"
"lower arm lt","Lower Arm LT",5,"arm",YES,"JDR48, JLT59"
"Lollipop","Lollipop",5,"lollipop",NO,"JJB41, JTK70"
"comb","Comb",5,"comb",YES,"JHK45, JPR42"
"Lip-compact","Lip Compact",5,"lip",YES,"JKP50"
"Torso FT","Torso FT",5,"body",NO,"JPD90"
"Leg LT","Leg LT",5,"leg",NO,"JBJ50, JRF20"
"customized pin","Customized Pin",5,"customized",YES,"JPR42, JPR43, JPR44"
"Torso-Front-upper","Torso Front Upper",5,"body",YES,"JNJ61"
"Knee-Connector","Knee Connector",5,"connector",YES,"HYM38, JGG38, JLP17"
"knee connector","Knee Connector",5,"connector",YES,"JGP25, JLT59"
"JJB33-003-Bent arm-rt","Bent Arm RT",5,"arm",YES,"JJB33"
"Horse mane / tail","Horse Mane / Tail",5,"horse",YES,"JHH07"
"Horse mane","Horse Mane",5,"horse",YES,"JHH09"
"Torso Front","Torso Front",5,"body",NO,"JNW74"
"Trunk","Trunk",4,"trunk",NO,"JML08"
"Shoes-Lt","Shoes LT",4,"shoes",YES,"JMH18, JMH19, JPR92"
"BOTTOM SKIRT","Bottom Skirt",4,"clothing",YES,"JHG93"
"shop sign","Shop Sign",4,"shop",YES,"JNK62"
"Shoulder-armor ","Shoulder Armor",4,"shoulder",YES,"JPV22"
"Heart-Charm","Heart Charm",4,"heart",YES,"JFJ80, JNG38"
"Right-leg","Right Leg",4,"leg",YES,"JLW51, JLW52"
"dog bow","Dog Bow",4,"dog",YES,"JFP36, JFP37"
"Wing-Rt","Wing RT",4,"wing",YES,"JPV22"
"Right-Frame","Right Frame",4,"frame",YES,"JTP16"
"Ribbon","Ribbon",4,"ribbon",NO,"JRN02"
"hair dye pot","Hair Dye Pot",4,"hair",YES,"JMG73"
"Rear Piece","Rear Piece",4,"rear",NO,"JTW98"
"Side-table","Side Table",4,"side",YES,"JLV22"
"Carousel Boots LT","Carousel Boots LT",4,"carousel",NO,"JTK70"
"Side-table-leg","Side Table Leg",4,"leg",YES,"JLV22"
"upper leg lt-gas-assit","Upper Leg LT Gas Assit",4,"leg",YES,"JLT59"
"Boots","Boot",4,"boots",YES,"JJN59, JPL17"
