text_id,accessory,source_sheet,shape_name,drawing_text,anchor,metadata_json
TXT-075,SHOULDER CONNECTOR,Shoulder connector,TextBox 70,H shape,from R26C5 | to R27C6,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 70"", ""anchor"": {""from"": {""col"": 4, ""colOff"": 104529, ""row"": 25, ""rowOff"": 19466}, ""to"": {""col"": 5, ""colOff"": 434588, ""row"": 26, ""rowOff"": 41498}}}"
TXT-076,SHOULDER CONNECTOR,Shoulder connector,TextBox 112,Stopper,from R27C7 | to R42C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 112"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 360724, ""row"": 26, ""rowOff"": 120340}, ""to"": {""col"": 9, ""colOff"": 134471, ""row"": 41, ""rowOff"": 128560}}}"
TXT-077,SHOULDER CONNECTOR,Shoulder connector,TextBox 114,HGC32,from R27C7 | to R42C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 114"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 360724, ""row"": 26, ""rowOff"": 120340}, ""to"": {""col"": 9, ""colOff"": 134471, ""row"": 41, ""rowOff"": 128560}}}"
TXT-078,SHOULDER CONNECTOR,Shoulder connector,TextBox 118,stopper,from R27C7 | to R42C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 118"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 360724, ""row"": 26, ""rowOff"": 120340}, ""to"": {""col"": 9, ""colOff"": 134471, ""row"": 41, ""rowOff"": 128560}}}"
TXT-079,SHOULDER CONNECTOR,Shoulder connector,TextBox 122,N5946,from R27C7 | to R42C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 122"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 360724, ""row"": 26, ""rowOff"": 120340}, ""to"": {""col"": 9, ""colOff"": 134471, ""row"": 41, ""rowOff"": 128560}}}"
TXT-080,SHOULDER CONNECTOR,Shoulder connector,TextBox 125,stopper,from R27C7 | to R42C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 125"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 360724, ""row"": 26, ""rowOff"": 120340}, ""to"": {""col"": 9, ""colOff"": 134471, ""row"": 41, ""rowOff"": 128560}}}"
TXT-081,SHOULDER CONNECTOR,Shoulder connector,TextBox 170,24124-Q518-08,from R42C1 | to R55C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 170"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 82826, ""row"": 41, ""rowOff"": 82826}, ""to"": {""col"": 6, ""colOff"": 372718, ""row"": 54, ""rowOff"": 143061}}}"
TXT-082,ARM,Arm,TextBox 86,Rib on pocket connector,from R9C1 | to R23C6,"{""sheet"": ""Arm"", ""shape_name"": ""TextBox 86"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 8, ""rowOff"": 146477}, ""to"": {""col"": 5, ""colOff"": 470647, ""row"": 22, ""rowOff"": 174479}}}"
TXT-083,ARM,Arm,TextBox 83,DVX72-Q601-16,from R9C7 | to R40C16,"{""sheet"": ""Arm"", ""shape_name"": ""TextBox 83"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 68035, ""row"": 8, ""rowOff"": 140874}, ""to"": {""col"": 15, ""colOff"": 503165, ""row"": 39, ""rowOff"": 172071}}}"
TXT-084,VUM HOLDER,VUM Holder,TextBox 3,Holder dimension,from R7C1 | to R16C3,"{""sheet"": ""VUM Holder"", ""shape_name"": ""TextBox 3"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 6, ""rowOff"": 85725}, ""to"": {""col"": 2, ""colOff"": 272561, ""row"": 15, ""rowOff"": 156146}}}"
TXT-085,VUM HOLDER,VUM Holder,TextBox 5,ensure close loop,from R7C3 | to R18C6,"{""sheet"": ""VUM Holder"", ""shape_name"": ""TextBox 5"", ""anchor"": {""from"": {""col"": 2, ""colOff"": 372990, ""row"": 6, ""rowOff"": 76201}, ""to"": {""col"": 5, ""colOff"": 160790, ""row"": 17, ""rowOff"": 178028}}}"
TXT-086,VUM HOLDER,VUM Holder,TextBox 13,WRONG,from R7C6 | to R19C9,"{""sheet"": ""VUM Holder"", ""shape_name"": ""TextBox 13"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 266700, ""row"": 6, ""rowOff"": 19049}, ""to"": {""col"": 8, ""colOff"": 371740, ""row"": 18, ""rowOff"": 104775}}}"
TXT-087,VUM HOLDER,VUM Holder,TextBox 14,WRONG,from R7C6 | to R19C9,"{""sheet"": ""VUM Holder"", ""shape_name"": ""TextBox 14"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 266700, ""row"": 6, ""rowOff"": 19049}, ""to"": {""col"": 8, ""colOff"": 371740, ""row"": 18, ""rowOff"": 104775}}}"
TXT-088,VUM HOLDER,VUM Holder,TextBox 8,ensure 1 times VUM process (No separated sub runner),from R7C6 | to R19C9,"{""sheet"": ""VUM Holder"", ""shape_name"": ""TextBox 8"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 266700, ""row"": 6, ""rowOff"": 19049}, ""to"": {""col"": 8, ""colOff"": 371740, ""row"": 18, ""rowOff"": 104775}}}"
TXT-089,ROTOHEAD,ROTOHEAD,TextBox 4,1,from R1C1 | to R26C15,"{""sheet"": ""ROTOHEAD"", ""shape_name"": ""TextBox 4"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 14, ""colOff"": 532267, ""row"": 25, ""rowOff"": 75595}}}"
TXT-090,ROTOHEAD,ROTOHEAD,TextBox 5,2,from R1C16 | to R26C31,"{""sheet"": ""ROTOHEAD"", ""shape_name"": ""TextBox 5"", ""anchor"": {""from"": {""col"": 15, ""colOff"": 19050, ""row"": 0, ""rowOff"": 104775}, ""to"": {""col"": 30, ""colOff"": 133350, ""row"": 25, ""rowOff"": 57150}}}"
TXT-091,ROTOHEAD,ROTOHEAD,TextBox 7,3,from R27C1 | to R50C14,"{""sheet"": ""ROTOHEAD"", ""shape_name"": ""TextBox 7"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 26, ""rowOff"": 104775}, ""to"": {""col"": 13, ""colOff"": 379962, ""row"": 49, ""rowOff"": 8989}}}"
TXT-092,MARKING & GENUINE,MARKING & GENUINE,TextBox 20,"#Standard Legal Marking Barbie Torso ©2022 MATTEL 1186 MJ, 1, NL MADE IN INDONESIA (height must be at least or >1.5mm)",from R1C1 | to R5C4,"{""sheet"": ""MARKING & GENUINE"", ""shape_name"": ""TextBox 20"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 3, ""colOff"": 595984, ""row"": 4, ""rowOff"": 175564}}}"
TXT-093,C CLIP BOTTLE,C clip bottle,TextBox 33,Please make standardization c clip for Barbie dimension Skipper Toddler chelsea,from R1C2 | to R8C8,"{""sheet"": ""C clip bottle"", ""shape_name"": ""TextBox 33"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 108859, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 7, ""colOff"": 201453, ""row"": 7, ""rowOff"": 143828}}}"
